Day,Date,Time,Latitude,Longitude,Depth,Magnitude,Quality,Location
Tuesday,26.03.2024,17:05:04,63.883,-22.317,7.6 km,1.1,99,3.0 km SW of Fagradalsfjall
Wednesday,27.03.2024,00:29:43,63.895,-22.05,5.2 km,0.6,99,1.2 km NE of Krýsuvík
Wednesday,27.03.2024,01:49:02,63.954,-21.816,7.5 km,1,99,6.4 km SSE of Helgafell
Wednesday,27.03.2024,03:48:02,63.889,-22.197,9.7 km,0.8,99,4.0 km ESE of Fagradalsfjall
Wednesday,27.03.2024,03:48:32,63.911,-22.241,11.3 km,0.9,99,1.9 km ENE of Fagradalsfjall
Wednesday,27.03.2024,03:50:16,64.126,-21.387,4.7 km,0.6,99,1.3 km E of Eiturhóll
Wednesday,27.03.2024,03:50:39,64.123,-21.388,4.7 km,1.5,99,1.4 km ESE of Eiturhóll
Wednesday,27.03.2024,03:52:01,64.117,-21.377,4.7 km,0.4,99,2.2 km SE of Eiturhóll
Wednesday,27.03.2024,03:58:04,64.125,-21.387,4.6 km,0.9,99,1.3 km ESE of Eiturhóll
Wednesday,27.03.2024,04:09:17,64.124,-21.387,4.7 km,1.6,99,1.4 km ESE of Eiturhóll
Wednesday,27.03.2024,04:10:28,64.125,-21.386,4.6 km,0.8,99,1.4 km ESE of Eiturhóll
Wednesday,27.03.2024,04:20:23,64.117,-21.345,4.8 km,0.4,99,3.2 km NNW of Skeggi á Hengli
Wednesday,27.03.2024,04:21:08,64.125,-21.385,4.5 km,0.7,99,1.4 km ESE of Eiturhóll
Wednesday,27.03.2024,04:22:03,64.121,-21.381,4.3 km,0.5,99,1.8 km ESE of Eiturhóll
Wednesday,27.03.2024,04:27:33,64.124,-21.381,3.6 km,0.4,99,1.6 km ESE of Eiturhóll
Wednesday,27.03.2024,05:18:37,64.128,-21.388,4.0 km,1,99,1.2 km E of Eiturhóll
Wednesday,27.03.2024,05:21:42,64.13,-21.386,3.9 km,0.8,99,1.3 km E of Eiturhóll
Wednesday,27.03.2024,06:05:44,64.114,-21.382,3.6 km,0.7,99,2.2 km SE of Eiturhóll
Wednesday,27.03.2024,06:22:50,64.057,-21.261,4.5 km,0.4,99,3.8 km SW of Hrómundartindi
Wednesday,27.03.2024,12:09:00,63.937,-22.03,5.2 km,0.2,90.01,5.8 km NNE of Krýsuvík
Wednesday,27.03.2024,12:09:46,63.951,-22.005,1.1 km,0.4,67.1,7.7 km NNE of Krýsuvík
Wednesday,27.03.2024,12:19:23,63.938,-22.02,5.3 km,0.1,32.14,6.1 km NNE of Krýsuvík
Wednesday,27.03.2024,13:23:24,63.938,-22.031,4.9 km,0.2,45.35,5.9 km NNE of Krýsuvík
Wednesday,27.03.2024,13:59:44,63.941,-21.414,6.5 km,0.6,32.84,0.8 km W of Raufarhólshellir
